step,1-1hit,1-2hit,1-3hit,2-1hit,2-2hit,2-3hit,
339,0.0664,0.0654,0.0654,0.1191,0.0664,0.0654,
340,0.0664,0.0664,0.0654,0.1201,0.0664,0.0654,
341,0.0684,0.0664,0.0654,0.1201,0.0664,0.0654,
342,0.0684,0.0664,0.0654,0.1201,0.0674,0.0654,
343,0.0684,0.0664,0.0654,0.1211,0.0674,0.0654,
344,0.0684,0.0664,0.0654,0.1211,0.0674,0.0654,
345,0.0684,0.0674,0.0664,0.1211,0.0674,0.0674,
346,0.0693,0.0674,0.0664,0.1221,0.0674,0.0674,
347,0.0693,0.0674,0.0664,0.1221,0.0674,0.0674,
348,0.0693,0.0674,0.0664,0.1221,0.0684,0.0674,
349,0.0693,0.0674,0.0664,0.1230,0.0684,0.0674,
350,0.0693,0.0674,0.0664,0.1230,0.0684,0.0674,
351,0.0693,0.0684,0.0674,0.1230,0.0684,0.0684,
352,0.0703,0.0684,0.0674,0.1250,0.0684,0.0684,
353,0.0703,0.0684,0.0674,0.1250,0.0684,0.0684,
354,0.0703,0.0684,0.0674,0.1250,0.0693,0.0684,
355,0.0703,0.0684,0.0674,0.1260,0.0693,0.0684,
356,0.0703,0.0684,0.0693,0.1260,0.0693,0.0693,
357,0.0703,0.0703,0.0693,0.1260,0.0693,0.0693,
358,0.0713,0.0703,0.0693,0.1260,0.0693,0.0693,
359,0.0713,0.0703,0.0693,0.1270,0.0693,0.0693,
360,0.0713,0.0703,0.0693,0.1270,0.0703,0.0693,
361,0.0713,0.0703,0.0693,0.1270,0.0703,0.0693,
362,0.0713,0.0703,0.0703,0.1279,0.0703,0.0703,
363,0.0713,0.0713,0.0703,0.1279,0.0703,0.0703,
364,0.0723,0.0713,0.0703,0.1279,0.0703,0.0703,
365,0.0723,0.0713,0.0703,0.1289,0.0703,0.0703,
366,0.0723,0.0713,0.0703,0.1289,0.0713,0.0703,
367,0.0723,0.0713,0.0703,0.1289,0.0713,0.0703,
368,0.0723,0.0713,0.0713,0.1289,0.0713,0.0713,
369,0.0723,0.0723,0.0713,0.1299,0.0713,0.0713,
370,0.0732,0.0723,0.0713,0.1299,0.0713,0.0713,
371,0.0732,0.0723,0.0713,0.1299,0.0713,0.0713,
372,0.0732,0.0723,0.0713,0.1318,0.0732,0.0713,
373,0.0732,0.0723,0.0713,0.1318,0.0732,0.0713,
374,0.0732,0.0723,0.0723,0.1318,0.0732,0.0732,
375,0.0752,0.0732,0.0723,0.1328,0.0732,0.0732,
376,0.0752,0.0732,0.0723,0.1328,0.0732,0.0732,
377,0.0752,0.0732,0.0723,0.1328,0.0732,0.0732,
378,0.0752,0.0732,0.0723,0.1338,0.0742,0.0732,
379,0.0752,0.0732,0.0723,0.1338,0.0742,0.0732,
380,0.0752,0.0732,0.0732,0.1338,0.0742,0.0742,
381,0.0762,0.0742,0.0732,0.1338,0.0742,0.0742,
382,0.0762,0.0742,0.0732,0.1348,0.0742,0.0742,
383,0.0762,0.0742,0.0732,0.1348,0.0742,0.0742,
